Ta_med;Ta_max;Ta_min;UR_med;UR_max;UR_min;RG;V;P;ET0
29.34;36.32;23.76;51.29;74.4;25.9;19.96704;1.875922573;0;5.87812837
29.56;37.64;22.24;50.02;81.8;22.92;19.82016;1.03327694;0;4.977588452
30.81;38.11;23.56;44.62;68.2;22.46;19.656;1.180624811;0;5.250335909
29.93;36.65;22.44;51.93;90.5;28.42;16.5888;1.921047859;0;5.290497356
27.47;34.67;22.1;65.13;90.5;34.86;14.75712;2.249817794;0.254;4.93741156
24.63;33.28;19.99;76.4;94.1;45.12;11.71584;1.735942097;48.51;3.706539917
24.08;31.43;18.73;76.9;94.1;47.37;13.65984;1.220224551;1.524;3.460075865
20.71;25.67;18.34;88.3;94.2;68.26;7.95744;0.805808666;28.7;1.956212383
24.41;30.05;18.99;73;95;50.89;10.38528;1.462427612;0;3.000524336
27.4;33.41;21.11;58.92;86.8;29.88;19.04256;2.331780047;0;5.588984612
27.09;33.08;21.05;60.98;85;35.65;17.15904;1.794881245;0;4.778448974
28.38;34.47;23.56;59.43;79.5;34.39;18.72288;1.854741317;0;5.289976206
27.85;32.88;22.7;62.72;84.4;42.14;12.96;2.036163382;0.254;4.253138593
22.58;26;20.05;84.9;94.3;69.98;7.59456;1.111555496;9.65;1.996754827
25.31;32.29;20.31;72;93.1;40.02;16.55424;0.56268468;0;3.560772153
26.18;32.75;21.24;71.2;93.5;41.74;15.73344;1.47071593;8.13;4.130291858
;;;91.3;95.9;75.1;3.634848;1.023146774;8.89;
;;;80.2;96.5;51.76;13.61664;0.699902384;0;
;;;73.4;92.5;46.98;14.1264;1.468874082;0;
;;;88.8;94.9;74.2;5.379264;0.627149373;12.19;
;;;89.1;96.9;57.92;11.50848;0.558080059;9.65;
;;;95.9;97.8;94.1;3.94848;0.803966817;1.524;
;;;79.6;99.1;47.51;15.84576;0.599521647;0.254;
;;;87.1;97.8;61.17;7.5168;0.810413286;8.13;
;;;78.1;95.9;58.38;15.39648;1.257061518;0.254;
;;;80;95.7;46.12;12.43296;0.757920608;0;
;;;73;94.3;47.84;13.75488;1.031435092;0;
;;;77.1;93.6;46.45;14.7744;1.043407106;1.778;
;;;67.21;86;40.03;15.32736;1.953280205;0;
;;;69.66;91.2;38.83;19.0512;2.451500192;5.334;
;;;72.9;94.7;39.89;18.50688;1.950517433;8.64;
-;-;-;72.3;91.2;49.24;21.62592;2.208376206;2.54;-
-;-;-;77.3;94.9;53.61;13.10688;0.996439973;0.254;-
-;-;-;79;90.5;63.95;7.87968;1.055379121;0;-
-;-;-;76.2;94.3;53.81;16.4592;1.520445836;0;-
